Archivo analizado: algoritmo_alfonzo.go

--- TOKENS RECONOCIDOS: ---
Línea 37 -> Tipo: IDENTIFICADOR, Valor: 'edades'
Línea 37 -> Tipo: CORCHETE_IZQ, Valor: '['
Línea 37 -> Tipo: LITERAL_STRING, Valor: '"Diego"'
Línea 37 -> Tipo: CORCHETE_DER, Valor: ']'
Línea 37 -> Tipo: COMA, Valor: ','
Línea 37 -> Tipo: IDENTIFICADOR, Valor: 'precios'
Línea 37 -> Tipo: CORCHETE_IZQ, Valor: '['
Línea 37 -> Tipo: LITERAL_STRING, Valor: '"manzana"'
Línea 37 -> Tipo: CORCHETE_DER, Valor: ']'
Línea 37 -> Tipo: COMA, Valor: ','
Línea 37 -> Tipo: IDENTIFICADOR, Valor: 'noValido'
Línea 37 -> Tipo: PAREN_DER, Valor: ')'
Línea 45 -> Tipo: IDENTIFICADOR, Valor: 'cadenaIncompleta'
Línea 45 -> Tipo: ASIG_CORTA, Valor: ':='
Línea 45 -> Tipo: IDENTIFICADOR, Valor: 'Esta'
Línea 45 -> Tipo: IDENTIFICADOR, Valor: 'cadena'
Línea 45 -> Tipo: IDENTIFICADOR, Valor: 'de'
Línea 45 -> Tipo: IDENTIFICADOR, Valor: 'texto'
Línea 45 -> Tipo: IDENTIFICADOR, Valor: 'nunca'
Línea 45 -> Tipo: IDENTIFICADOR, Valor: 'se'
Línea 45 -> Tipo: IDENTIFICADOR, Valor: 'cierra'
Línea 47 -> Tipo: IDENTIFICADOR, Valor: 'cadenaRawIncompleta'
Línea 47 -> Tipo: ASIG_CORTA, Valor: ':='
Línea 47 -> Tipo: IDENTIFICADOR, Valor: 'Esta'
Línea 47 -> Tipo: IDENTIFICADOR, Valor: 'cadena'
Línea 47 -> Tipo: IDENTIFICADOR, Valor: 'tampoco'
Línea 47 -> Tipo: IDENTIFICADOR, Valor: 'se'
Línea 47 -> Tipo: IDENTIFICADOR, Valor: 'cierra'
Línea 48 -> Tipo: LLAVE_DER, Valor: '}'
Línea 50 -> Tipo: DIV, Valor: '/'
Línea 50 -> Tipo: MULT, Valor: '*'
Línea 50 -> Tipo: IDENTIFICADOR, Valor: 'Comentario'
Línea 50 -> Tipo: IDENTIFICADOR, Valor: 'se'
Línea 50 -> Tipo: IDENTIFICADOR, Valor: 'queda'
Línea 50 -> Tipo: IDENTIFICADOR, Valor: 'abierto'
Línea 50 -> Tipo: IDENTIFICADOR, Valor: 'al'
Línea 50 -> Tipo: IDENTIFICADOR, Valor: 'final'
Línea 50 -> Tipo: IDENTIFICADOR, Valor: 'del'
Línea 50 -> Tipo: IDENTIFICADOR, Valor: 'archivo'

--- ERRORES ENCONTRADOS: ---
Error léxico: Carácter '@' no reconocido en la línea 40
Error léxico: Carácter '$' no reconocido en la línea 41
Error léxico: Carácter '#' no reconocido en la línea 42
Error léxico: Carácter '"' no reconocido en la línea 45
Error léxico: Carácter '`' no reconocido en la línea 47
